"","Name","Pos","Odds","TGP","AG","APIM","AA","AOTG","AGW","AHat"
"423","M. Ferlan","LW",0.290178571428571,224,0.245535714285714,0.625,0.294642857142857,0,0.0267857142857143,0
"424","M. Fisher","C",0.0295454545454545,88,0.0227272727272727,0.0909090909090909,0.0227272727272727,0,0.0113636363636364,0
"425","M. Folign","LW",0.13347280334728,239,0.0920502092050209,0.761506276150628,0.163179916317992,0,0.00836820083682008,0
"426","M. Frk","RW",0.229,100,0.13,0.22,0.24,0,0,0
"427","M. Frolik","RW",0.263133640552995,217,0.193548387096774,0.359447004608295,0.235023041474654,0.00460829493087558,0.0414746543778802,0
"428","M. Gabori","RW",0.0862745098039216,102,0.107843137254902,0.235294117647059,0.0980392156862745,0,0,0
"429","M. Giorda","D",0.57655601659751,241,0.195020746887967,0.83402489626556,0.576763485477178,0.00829875518672199,0.033195020746888,0
"430","M. Grabne","LW",0.271065989847716,197,0.228426395939086,0.16243654822335,0.116751269035533,0.0101522842639594,0.0253807106598985,0.0050761421319797
"431","M. Granlu","LW",0.418119266055046,1744,0.194954128440367,0.261467889908257,0.334862385321101,0.00458715596330275,0.0344036697247706,0.00229357798165138
"432","M. Green","D",0.344198895027624,181,0.0994475138121547,0.519337016574586,0.370165745856354,0,0,0
"433","M. Grigor","C",0,75,0,0,0,0,0,0
"434","M. Grzelc","D",0.264341085271318,129,0.0697674418604651,1.22480620155039,0.325581395348837,0,0,0
"435","M. Haley","C",-0.0176136363636364,176,0.0397727272727273,2.05681818181818,0.0795454545454545,0,0.00568181818181818,0
"436","M. Hannik","LW",0.120689655172414,87,0.126436781609195,0.114942528735632,0.103448275862069,0,0.0229885057471264,0
"437","M. Hanzal","C",0.0556034482758621,116,0.0603448275862069,0.267241379310345,0.0603448275862069,0,0.00862068965517241,0
"438","M. Hendri","C",0.0593137254901961,102,0.0490196078431373,0.382352941176471,0.0784313725490196,0,0,0
"439","M. Hoffma","LW",0.518487394957983,238,0.394957983193277,0.38655462184874,0.428571428571429,0.0378151260504202,0.0714285714285714,0
"440","M. Hossa","RW",0,73,0,0,0,0,0,0
"441","M. Hunwic","D",0.082421875,128,0.03125,0.2265625,0.078125,0.0078125,0.0078125,0
"442","M. Irwin","D",0.0821428571428571,168,0.0238095238095238,0.5,0.107142857142857,0,0,0
"443","M. Jankow","C",0.468092105263158,152,0.296052631578947,0.375,0.289473684210526,0,0.0328947368421053,0.00657894736842105
"444","M. Johans","LW",0.257396449704142,169,0.183431952662722,0.177514792899408,0.254437869822485,0,0.0118343195266272,0
"445","M. Karlss","C",0.0926267281105991,217,0.147465437788018,0.359447004608295,0.0875576036866359,0,0.0230414746543779,0
"446","M. Kempny","D",0.251149425287356,174,0.0862068965517241,0.839080459770115,0.258620689655172,0,0.0344827586206897,0
"447","M. Koivu","C",0.335714285714286,210,0.142857142857143,0.428571428571429,0.347619047619048,0,0.00952380952380952,0
"448","M. Kruger","C",0.107291666666667,192,0.046875,0.458333333333333,0.109375,0,0.0208333333333333,0
"449","M. Letest","C",0.096875,160,0.05625,0.0625,0.0875,0.00625,0.00625,0
"450","M. Lucic","LW",0.164197530864198,243,0.0905349794238683,1.07818930041152,0.213991769547325,0,0.00411522633744856,0
"451","M. Marinc","D",0.131372549019608,51,0.0392156862745098,0.509803921568627,0.156862745098039,0,0,0
"452","M. Marner","RW",0.794605809128631,241,0.307053941908714,0.29045643153527,0.759336099585062,0,0.0497925311203319,0
"453","M. Martin","LW",0.0964824120603015,199,0.0753768844221105,0.78391959798995,0.125628140703518,0,0.0100502512562814,0
"454","M. Mathes","D",0.238607594936709,237,0.109704641350211,0.628691983122363,0.232067510548523,0.0126582278481013,0.0253164556962025,0
"455","M. McCorm","LW",-0.00490196078431373,51,0.0980392156862745,0.882352941176471,0.0392156862745098,0,0,0
"456","M. Methot","D",-0.00132743362831858,113,0.00884955752212389,0.380530973451327,0.0176991150442478,0,0,0
"457","M. Moulso","LW",-0.00105263157894737,95,0,0.0210526315789474,0,0,0,0
"458","M. Muelle","D",0.26,85,0.0235294117647059,0.447058823529412,0.282352941176471,0,0,0
"459","M. Nieto","LW",0.383248730964467,197,0.116751269035533,0.152284263959391,0.248730964467005,0,0.0152284263959391,0.0050761421319797
"460","M. Niskan","D",0.243805309734513,226,0.101769911504425,0.52212389380531,0.247787610619469,0.00884955752212389,0.0132743362831858,0
"461","M. Nutiva","D",0.240096618357488,207,0.0821256038647343,0.1256038647343,0.231884057971014,0,0.0144927536231884,0
"462","M. Paajar","LW",0.108900523560209,191,0.157068062827225,0.12565445026178,0.104712041884817,0,0.0104712041884817,0
"463","M. Pacior","LW",0.32654028436019,211,0.289099526066351,0.483412322274882,0.265402843601896,0.018957345971564,0.0663507109004739,0
"464","M. Peca","C",0.28135593220339,59,0.135593220338983,0.135593220338983,0.288135593220339,0,0,0
"465","M. Perrea","LW",0.247465437788018,217,0.216589861751152,0.580645161290323,0.23963133640553,0,0.0368663594470046,0
"466","M. Pysyk","D",0.125641025641026,234,0.0213675213675214,0.307692307692308,0.141025641025641,0,0,0
"467","M. Raffl","RW",0.171282051282051,195,0.128205128205128,0.471794871794872,0.169230769230769,0,0.0256410256410256,0
"468","M. Rantan","RW",0.751739130434783,230,0.395652173913043,0.617391304347826,0.726086956521739,0.00869565217391304,0.0478260869565217,0
"469","M. Read","RW",-0.00319148936170213,94,0.0319148936170213,0.0638297872340425,0,0,0,0
