C,Name,Pos,City,GP,G,A,Pts,PIM,PIMB,SOA,SOG,PP,PPA,SH,SHA,OTG,GW,GT,EN,Hat.,S,+/-,PPts,PPts/GP,Sal,CapH,St
396,N. Schmid,D,VEG,60,3,14,17,16,0,0,0,0,0,0,1,0,0,0,0,0,60,22,17,0.3,8.8,5.95,
397,E. Johnso,D,COL,46,2,15,17,9,5,0,0,0,6,0,0,1,1,0,0,0,96,-6,17,0.4,6,6,
398,C. Ceci,D,TOR,79,2,15,17,20,0,0,0,0,1,0,2,0,0,0,0,0,143,-11,17,0.2,4.5,4.5,
399,C. Murphy,D,CHI,77,2,15,17,45,5,0,0,0,0,1,0,1,1,0,1,0,81,-13,17,0.2,4.4,3.85,
400,V. Stalbe,LW,OTT,75,11,5,16,41,5,0,0,1,1,2,0,0,2,0,0,0,101,-9,16,0.2,-,-,
401,K. Fiala,LW,MIN,54,11,5,16,18,0,0,0,0,0,0,0,0,1,0,0,0,114,1,16,0.3,2.5,3,
402,A. Crackn,RW,ANA,69,10,6,16,12,0,0,0,0,0,1,0,0,2,0,0,1,87,9,18,0.3,-,-,
403,R. White,C,VAN,65,9,7,16,84,30,0,0,0,0,0,0,0,1,0,0,0,60,-16,16,0.2,-,-,
404,D. King,LW,MON,80,9,7,16,12,0,1,1,0,0,0,0,0,1,0,0,0,110,-2,16,0.2,-,-,
405,Z. Girgen,LW,BUF,75,7,9,16,18,0,1,1,0,0,0,0,0,0,0,0,0,112,-7,16,0.2,1.6,1.6,
406,B. McGinn,LW,CAR,57,7,9,16,6,0,1,1,0,0,0,1,0,1,0,0,0,74,-11,16,0.3,1.9,2.1,
407,T. Kero,C,DAL,47,6,10,16,8,0,0,0,0,0,0,0,0,0,0,2,0,60,15,16,0.3,0.75,0.76,
408,B. Carlo,D,BOS,82,6,10,16,59,5,0,0,0,0,1,0,0,0,0,0,0,88,9,16,0.2,2.2,2.85,
409,D. MacKen,C,FLA,82,6,10,16,50,10,0,0,0,0,2,3,0,1,0,2,0,91,-7,16,0.2,-,-,
